assay_plateNumber,assay,SourcePosition,SourceWell,Volume,DestinationPosition,DestinationWell
16S.Plate1,16S,qPCRPlate-P11,B2,20,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B4,25,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B6,24.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B8,10,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B10,10.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B12,17,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B14,22,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B16,23,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B18,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B20,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B22,47.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,B24,47.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D2,45.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D4,34.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D6,30,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D8,22,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D10,6.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D12,23.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D14,36.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D16,25.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D18,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D20,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D22,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,D24,47.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F2,21,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F4,30,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F6,41.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F8,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F10,27.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F12,21.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F14,43,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F16,29,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F18,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F20,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F22,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,F24,47.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H2,37.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H4,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H6,41,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H8,32.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H10,27,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H12,31,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H14,31,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H16,15,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H18,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H20,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H22,47.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,H24,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J2,16,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J4,39.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J6,37.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J8,38.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J10,34.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J12,45,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J14,29.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J16,13.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J18,41.5,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J20,2,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J22,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,J24,48,P16,A1
16S.Plate1,16S,qPCRPlate-P11,L2,24.5,P16,A1
